mood,company,genres,ratings,releaseRange,occasion,liked_movie
chill,partner,Comedy,R,mid,party,Salvador
happy,partner,"Horror,Sci-Fi,Action",R,classic,party,Hollywoodland
chill,friends,Drama,G,older,party,The Legend of Boggy Creek
happy,alone,"Comedy,Sci-Fi,Romance","PG,NC-17",mid,casual,Arc
chill,partner,Romance,"R,NC-17",mid,date,Baadasssss!
chill,partner,"Drama,Romance,Horror","R,PG-13",mid,party,The Story of G.I. Joe
thrilled,alone,"Action,Horror,Drama",NC-17,older,me-time,Nowhere
chill,partner,Romance,"R,PG-13",classic,casual,Show
happy,friends,Romance,G,recent,date,Here We Go Round the Mulberry Bush
thrilled,family,Drama,"PG-13,R",mid,date,American Anthem
happy,partner,"Romance,Sci-Fi",PG-13,older,birthday,Burning Man
chill,kids,Drama,"G,R",classic,date,Hotarubi no Mori e
thrilled,partner,Romance,NC-17,classic,casual,The Deadly Companions
happy,kids,Comedy,PG-13,older,date,Puppet Master: Axis of Evil
thrilled,alone,"Comedy,Drama,Romance","G,PG",mid,holiday,Pharaoh's Curse
thrilled,friends,Comedy,PG-13,classic,party,Ordet
thrilled,alone,"Romance,Sci-Fi",PG,older,birthday,"What's Up, Scarlet?"
thrilled,partner,"Drama,Action","PG,G",mid,date,The Land Unknown
sad,kids,"Drama,Horror,Comedy",PG,recent,date,The Red Squirrel
sad,alone,"Comedy,Sci-Fi",R,classic,party,The Straw Hat
chill,kids,"Romance,Comedy,Sci-Fi","NC-17,PG-13",older,holiday,Tupac: Resurrection
happy,friends,Romance,PG,classic,party,Lammbock
happy,friends,Horror,R,classic,birthday,Man of Her Dreams
chill,alone,"Drama,Action,Romance",PG-13,mid,party,Captain Thunder
chill,friends,"Horror,Comedy,Drama","NC-17,PG-13",mid,holiday,Central Airport
thrilled,friends,Horror,"R,PG-13",older,birthday,Resident Evil: Afterlife
chill,friends,"Drama,Comedy",NC-17,older,holiday,A Parting Shot
chill,kids,Sci-Fi,PG,recent,holiday,Breaking In
sad,partner,"Romance,Sci-Fi",R,mid,casual,The Night We Never Met
happy,family,Romance,G,recent,party,Courage
happy,friends,Romance,PG,mid,casual,Salome's Last Dance
happy,family,"Horror,Sci-Fi",NC-17,older,casual,The Architect
sad,kids,"Drama,Sci-Fi",G,mid,holiday,Houdini
sad,kids,Comedy,"G,PG-13",older,birthday,The Foxy Merkins
sad,partner,Romance,"PG,PG-13",mid,holiday,Love the Hard Way
happy,friends,"Sci-Fi,Horror,Action","PG,PG-13",recent,me-time,Never Give a Sucker an Even Break
happy,kids,"Drama,Sci-Fi",R,older,birthday,Once Upon a Time in Mumbaai
thrilled,partner,"Comedy,Drama",G,mid,holiday,Sign Painters
thrilled,partner,"Sci-Fi,Action,Comedy","R,PG",recent,holiday,Spud
sad,alone,"Drama,Romance",PG-13,classic,date,Grill Point
thrilled,family,Comedy,"R,PG",older,party,Hot Times at Montclair High
sad,partner,"Sci-Fi,Comedy,Horror",PG-13,recent,date,The Seventh Fire
happy,friends,"Drama,Sci-Fi,Comedy",G,mid,holiday,Starship
thrilled,partner,Horror,"G,PG-13",classic,party,Scooby-Doo and the Ghoul School
chill,family,Horror,PG-13,recent,casual,Sebbe
thrilled,friends,"Action,Romance","R,G",older,birthday,The Shuttered Room
thrilled,partner,"Action,Romance","PG-13,G",classic,casual,Cat Shit One
sad,alone,Action,"PG,R",classic,casual,Mickey's Orphans
sad,kids,"Sci-Fi,Comedy,Horror","PG-13,NC-17",recent,holiday,What Love Is
sad,kids,Comedy,"PG,NC-17",recent,holiday,Premature Burial
thrilled,kids,Romance,PG,older,date,Simpatico
happy,alone,Drama,"G,NC-17",older,birthday,Captain America II: Death Too Soon
happy,family,Romance,PG-13,older,holiday,Ma L'Amore... Sì
chill,kids,"Romance,Sci-Fi",R,recent,me-time,Kaante
sad,family,"Horror,Sci-Fi,Drama",G,classic,casual,The Young Stranger
chill,alone,Comedy,"R,PG",mid,birthday,In Her Line of Fire
thrilled,friends,"Sci-Fi,Drama","PG-13,NC-17",classic,birthday,Salt of This Sea
thrilled,alone,Comedy,R,recent,date,Mac & Devin Go to High School
chill,partner,"Romance,Action,Drama","PG-13,R",older,me-time,2 Guns
thrilled,partner,"Romance,Comedy","PG-13,R",mid,me-time,A Wednesday!
thrilled,alone,Action,"NC-17,PG-13",classic,birthday,A Good Woman
thrilled,alone,Horror,"PG-13,G",older,party,The Strange Little Cat
chill,partner,Action,"PG,G",older,date,Carry On Teacher
thrilled,alone,"Sci-Fi,Romance,Horror",R,mid,holiday,Misa mi
thrilled,partner,"Comedy,Sci-Fi","PG-13,NC-17",mid,holiday,Miami Blues
sad,alone,Drama,NC-17,classic,holiday,"Cry, Onion!"
chill,alone,"Horror,Drama","G,R",recent,me-time,Aroused
thrilled,family,"Comedy,Action",NC-17,older,casual,Birth of the Living Dead
sad,family,"Comedy,Sci-Fi,Drama","R,NC-17",older,party,So Big
thrilled,friends,Sci-Fi,PG-13,recent,birthday,Traitors
chill,alone,Horror,"G,R",classic,casual,Dark Fortune
sad,kids,"Drama,Sci-Fi,Horror",PG-13,classic,holiday,Ruins
chill,family,Horror,PG-13,recent,birthday,Loving Annabelle
thrilled,friends,"Sci-Fi,Comedy","G,PG-13",mid,birthday,Archipelago
chill,kids,Sci-Fi,"G,PG-13",classic,holiday,Babylon 5: Thirdspace
happy,alone,Drama,"R,PG",older,party,Life as a House
chill,kids,Action,"NC-17,R",classic,me-time,The White Ship
happy,alone,"Sci-Fi,Horror","PG,NC-17",recent,me-time,The Road Home
thrilled,partner,Romance,PG,recent,holiday,Miss Potter
happy,partner,"Horror,Action,Sci-Fi","PG,G",mid,date,Death Is My Trade
chill,alone,"Sci-Fi,Comedy","G,PG",recent,me-time,The Fugitive
chill,kids,"Drama,Sci-Fi,Horror","NC-17,R",mid,holiday,Christmas Land
sad,family,"Romance,Horror",PG-13,recent,casual,Goin' Down the Road
sad,friends,Comedy,"NC-17,PG",recent,casual,Pioneers in Ingolstadt
thrilled,family,"Drama,Action",R,classic,date,Eight Days a Week
chill,family,Drama,R,older,me-time,Beautiful Days
thrilled,alone,"Horror,Drama","PG-13,R",recent,me-time,Back in the Day
thrilled,partner,"Comedy,Drama,Horror","NC-17,R",classic,holiday,Fascination
happy,alone,"Horror,Sci-Fi","R,NC-17",older,casual,George's Island
sad,family,"Action,Romance",G,classic,birthday,Girlfriend Boyfriend
happy,alone,Sci-Fi,"PG,R",mid,party,Oriental Elegy
happy,alone,Comedy,"R,NC-17",mid,me-time,Superman and the Mole-Men
happy,family,"Romance,Action",NC-17,older,date,Witchery
chill,friends,"Sci-Fi,Drama,Comedy",R,older,party,Diary of a Wimpy Kid
thrilled,family,Drama,"PG,G",older,party,Breaking The Surface: The Greg Louganis Story
happy,alone,"Horror,Action,Comedy",PG-13,older,holiday,The Importance of Tying Your Own Shoes
happy,family,Action,G,classic,date,Fists of Legend
chill,friends,Horror,"PG-13,NC-17",mid,date,Pu-239
happy,partner,Horror,G,mid,date,Badding
happy,kids,Action,"PG,NC-17",classic,me-time,On the Other Side
sad,family,Drama,"PG,G",mid,me-time,Journey 2: The Mysterious Island
thrilled,family,"Sci-Fi,Drama","NC-17,PG-13",older,casual,My Stuff
thrilled,family,Action,"PG,R",recent,date,Rambo III
happy,friends,"Horror,Drama,Action",PG-13,classic,casual,Ghayal
chill,friends,"Sci-Fi,Action,Romance","G,R",older,date,McLintock!
thrilled,alone,"Action,Sci-Fi",R,recent,casual,Merry Madagascar
chill,kids,Horror,PG-13,mid,party,Echo Planet
happy,friends,"Sci-Fi,Action,Comedy","R,G",mid,birthday,Winterhawk
sad,friends,"Sci-Fi,Drama","PG,PG-13",recent,party,Song to Song
thrilled,friends,Comedy,"NC-17,G",recent,party,Traffic
happy,alone,"Comedy,Romance,Horror","G,PG-13",recent,birthday,The Unemployment Club
chill,kids,"Action,Horror",R,mid,casual,Drei Mann in einem Boot
chill,alone,"Romance,Drama",NC-17,recent,party,Tini: The New Life of Violetta
thrilled,alone,"Romance,Sci-Fi,Action","PG,G",recent,date,Simple Things
thrilled,partner,"Sci-Fi,Action,Drama","PG,NC-17",older,casual,Batman vs. Robin
thrilled,kids,"Romance,Horror","PG-13,NC-17",mid,party,Clockwise
thrilled,family,"Sci-Fi,Comedy,Horror","NC-17,PG-13",recent,holiday,Sharkansas Women's Prison Massacre
happy,kids,Comedy,R,recent,birthday,By the Light of the Silvery Moon
sad,friends,"Sci-Fi,Romance,Comedy",NC-17,classic,birthday,NY77: The Coolest Year in Hell
sad,partner,"Horror,Romance",NC-17,classic,me-time,Spy Time
sad,family,"Horror,Comedy,Romance","PG-13,PG",recent,party,Time Bandits
thrilled,family,"Romance,Comedy,Action","NC-17,R",older,holiday,God Grew Tired of Us
sad,friends,"Horror,Sci-Fi",PG,mid,date,Angel's Fall
sad,friends,"Romance,Comedy,Sci-Fi",NC-17,classic,date,Carson City
chill,family,"Horror,Drama,Comedy","PG,R",classic,party,Shanghai Ghetto
thrilled,alone,"Drama,Horror",PG,mid,holiday,Barbie: A Perfect Christmas
